index,source,target,edge
1863,o'keefe,romantically  man,involved with
1864,garrison,questioning,stood
1865,pride,director,impressed
1866,he,limb,went
1867,studio president,chief officer terry idea,liked
1868,that,jfk,was
1869,who,military  cia,was
1870,extraordinary  i,extraordinary  afternoons,one of
1871,much  he,much  movie,started
1872,initially  costner,stone,turned
1873,martin sheen,opening narration,provided
1874,that,kennedy,plot
1875,so  he,seven  cameras,used
1876,many  lighting,many  cases,has
1877,he,long  form,developed
1878,so  lot,cuts,were
1879,35 mm film editing,sized film stocks,was impossible
1880,production,intense  scrutiny,were subject
1881,dowell,protest,resigned in
1882,jfk,will,are
1883,entertainment weekly,it,ranked
1884,estate,subsequently warner bros,sued
1885,stauffenberg,austrian das erste,is
1886,sequel,golden  september,released in
1887,prequel,february,titled
1888,kingsman  films,20th century fox,released by 20th
1889,series,millar  gibbons,created by
1890,it,shared mark universe,set in
1891,1,kick ass,referenced in
1892,film,imax  release,given
1893,official  title,june,announced
1894,rudd,integral  kingsman,were integral
1895,golden  lock,first  film,circle
1897,sequel,golden  september,released in
1898,prequel,february,titled
1899,kingsman  films,20th century fox,released by 20th
1900,series,millar  gibbons,created by
1901,it,shared mark universe,set in
1902,1,kick ass,referenced in
1903,film,imax  release,given
1904,official  title,june,announced
1905,rudd,integral  kingsman,were integral
1906,golden  lock,first  film,circle
1908,four  men,couple,attack
1909,control,remaining  companion,kills
1910,grey wakes,hospital room,paralyzed
1911,it,brad pitt,stars
1912,film,single oscar nomination,earn
1913,film,brad pitt,was
1914,zodiac,paramount  pictures,are
1915,i,that,maintained
1916,that,career,'s
1917,they,daughter,have
1918,fincher,currently producer ceán chaffin,married to
1919,it,brad pitt,stars
1920,film,single oscar nomination,earn
1921,film,brad pitt,was
1922,zodiac,paramount  pictures,are
1923,i,that,maintained
1924,that,career,'s
1925,they,daughter,have
1926,fincher,currently producer ceán chaffin,married to
1927,web films,new  media,are
1928,film,hrithik roshan,stars
1929,anand,money,needs
1930,filming,september,completed in
1931,telling,it,is
1932,national film board,canada,is
1933,it,french production branches,has english
1934,french language productions,also  moncton,made in
1935,early  nfb,early  history,was
1936,nfb,full time positions,eliminated
1937,who,goose,samsa
1938,sand castle,first sand oscar,was
1939,technique,also caroline film,used on
1940,recent  credits,interactive animation work,include
1941,nfb documentaries,also netflix canada,are
1942,tom o’connor mike kanentakeron mitchell,canada,were on
1943,cinéaste recherché,emerging  animators,is
1944,they,september,ceased
1945,it,georges beaupré,designed by
1946,neil nitin mukesh,extended john appearances,make extended
1947,dialogue,abhijeet  deshpande,written by abhijeet
1948,sanu varghese,cinematographer,served as
1949,principal  photography,28  september,began on
1950,wazir,pandit,calls daanish
1951,we,own  sensibilities,had
1952,it,gagan baderiya,sung by
1953,vijayakar,india west,summed
1954,decent  songs,mixed listening experience,makes for
1955,nambiar,subsequently  feelings,apologised for
1956,wazir,hindi  year,was
1957,it,shreyas talpade,stars
1958,they,individual setters operations,set
1959,film,3,released on
1960,lilli,indian prasobh vijayan,is
1961,film,appu bhattathiri,edited by
1962,others,own film festivals,inspired
1963,late cult films,late  1970s,become
1964,nosferatu,unauthorized bram dracula,was
1965,american exploitation films,time,marketed
1966,i,box office hits,wanted
1967,cult films,also  directors,trap
1968,young  men,films,targeted
1969,transgressive that,transgressive cultures,films
1970,similarly james dean,alienated film youth,become
1971,cult films,own  subculture,create
1972,previous  articles,also  explanation,alluded to
1973,this,inspired fan acting,draw
1974,however  it,marketing,became influential
1975,art film,independent niche market,is
1976,pur film movement,notable dada artists,included several
1977,new wave movement,1960s,continued into
1978,influence,that,waned
1979,au hasard au balthazar,elliptical  style,are notable
1980,film that,ethical  issues,series
1982,live,grand jury prize,won
1983,drive,nicolas winding nicolas refn,called
1984,recent  examples,mother,include
1985,so  hans,true  kiss,give
1986,anna,new  sleigh,gives
1987,speaking  characters,reindeer companion sven,include
1990,breakthrough,song,was
1991,i,really  that,'m
1992,disney,three research field trips,sponsored
1993,becky it,first  character,'s
1994,they,just  that,wanted
1995,it,snowballs,compressed into
1996,all,different  effects,are
1997,goal,musical  journey,was
1998,also  it,rhythmically  music,have
1999,then  you,back lip sync,have
2000,it,5.81 million 5.81 viewers,aired to
2001,it,grossing disney pictures disney,is
2003,it,animated south korea,is
2004,many  cinemagoers,original,reported
2005,we,imperfect  princesses,create
2006,it,terrific family entertainment,'s
2007,they,truth,want
2008,same  i,same  time,feel
2009,169  workers,wet  cement,fell
2010,he,likewise feasibility study,prepared
2011,entity,review classification board,known as
2012,building,1982,finished in
2014,book,1981  incident,tells of
2015,film,few  names,changes
2016,plot,around  thulasi,revolves
2017,this,revenge,is
2018,day  uncle,her,comes
2019,movie,april,released on
2020,film,british film institute,funded by
2021,hook,him,pursue
2022,protest soldiers,two  soldiers,pull
2023,when  group,hook,prepares
2025,hook,barracks,returned to
2026,71,positive  reviews,received positive
2027,ad astra,american james gray,is
2028,entire  crew,brutal  fight,killed in
2029,visual  effects,picture company,were by
2031,it,also  best,'s
2032,two certificate awards,national film awards,discontinued from 15th
2033,award,rajat kamal,includes
2034,kabaddi,2009 narendra babu,is
2036,new  company,20th fox film may,began
2037,company,special training school,established
2038,ii,overtake rko,helped
2040,only  partnership,especially  films,work
2041,universal  pictures,quickly columbia process,adopted
2042,film,1963,was
2044,assets,.,frozen by
2045,fox stage productions,june,formed in
2046,scarce  records,only fox theaters,sold
2047,fox music,music 2000,been
2048,20th century fox,known searchlight structure logo,uses
2049,fox fanfare,also  1981,was
2051,new  company,20th fox film may,began
2052,company,special training school,established
2053,ii,overtake rko,helped
2055,only  partnership,especially  films,work
2056,universal  pictures,quickly columbia process,adopted
2057,film,1963,was
2059,assets,.,frozen by
2060,fox stage productions,june,formed in
2061,scarce  records,only fox theaters,sold
2062,fox music,music 2000,been
2063,20th century fox,known searchlight structure logo,uses
2064,fox fanfare,also  1981,was
2066,these,highest kannada language films,considered
2067,he,25  films,starred in more
2068,however  film,theatrical  release,see
2069,next  release,idharkuthane aasaipattai gokul,was
2070,vijay sethupathi,masses,become
2072,he,starrer chekka chivantha vaanam,appeared in
2073,sethupathi,three  siblings,has
2074,two  son,two  children,has
2075,he,25  films,starred in more
2076,however  film,theatrical  release,see
2077,next  release,idharkuthane aasaipattai gokul,was
2078,vijay sethupathi,masses,become
2080,he,starrer chekka chivantha vaanam,appeared in
2081,sethupathi,three  siblings,has
2082,two  son,two  children,has
2083,2012 film it,2012 film years,renamed best
2084,international film festival,annually film berlin,is
2085,twenty  films,top  awards,compete for
2086,trade fair,distributors,serves
2087,festival,different film sections,composed of
2088,retrospective  section,important  themes,dedicated to important
2089,efm,major film producers,is
2090,it,registered industry insiders,is open
2091,major  example,genre,was
2092,they,technological  theme,had
2093,early  films,science fiction,merged
2094,1950s science fiction films,larger budget b budgets,were several
2095,successful monster movies,japanese film studio toho,were
2096,other  themes,disaster films,included
2097,movie,political  commentary,was
2098,year terminator salvation,moderate  success,released
2099,science fiction themes,equally  movies,are
2100,this,science fiction film,is
2101,visual  that,genre,are several
2102,these,spacecraft space station,include
2103,cybernetics,holographic  robocop,popularized
2104,device working material,stealth  technology,is
2105,cars  computers,movie stealth,be available
2106,reboot,mighty morphin power rangers,improved
2107,society,future,become better
2108,science fiction films,social  issues,continue
2109,sequel,highly  critics,was
2110,he,very  evil,is
2111,cinematic  adaptation,clockwork orange,planned
2112,it,immediate  impact,had
2113,he,total  control,likes total
2114,malcolm mcdowell,dvd commentary,points
2115,clockwork orange,united states,was
2116,maritime film classification board,also  ban,reversed
2117,film poster,soundtrack disc,followed
2118,release,other kubrick classics,accompanies
2119,- release re - edition,previous  version,enhanced
2120,clockwork orange,influential  cinema,remains
2121,clockwork orange,top movie lists,appears several
2122,spanish  director,luis film,praised
2123,i,film,predisposed against
2124,journal,1972,established in
2125,dare,romantic adam salky,is
2126,it,david brind,written by
2127,imdb,different teaser synopsis,provides
2128,first year assignment,short  film,was
2129,rotten  tomatoes,60 % rating,gives
2130,peasants,historical jan rybkowski,is
2131,it,1973,released in
2132,rocky ramachandra raju,garuda,stars as rocky
2133,however  filming,later  march,began
2134,kgf,five  languages,released in
2135,it,complete period 70s,is
2136,ramya krishna,later  schedules,expected
2137,trailer,9  november,released on
2138,brilliant  cinematography,sharp action edits,put
2139,they,racy  pace,give
2140,rocky ramachandra raju,garuda,stars as rocky
2141,however  filming,later  march,began
2142,kgf,five  languages,released in
2143,it,complete period 70s,is
2144,ramya krishna,later  schedules,expected
2145,trailer,9  november,released on
2146,brilliant  cinematography,sharp action edits,put
2147,they,racy  pace,give
2148,it,film mouna guru,is
2149,lyrics,krishna chaitanya,written by
2150,sometimes  one,different  director,directed by
2151,different  segments,different  directors,directed by different
2153,anthology films,often hyperlink cinema,mistaken with
2154,film,h  s/2,spawned
2155,dus kahaniyaan,noted portmanteau bollywood,is
2156,1976 film katha sangama,first  anthology,is
2157,three prodyut kumar deka,three anthology directors,is
2158,archive,fiction fiction titles,contains more
2159,institute,1933,founded in
2160,other  governors,existing board members,are
2161,it,national  lottery,funded through
2162,it,sister adweek,is
2163,film critics,lewis beale,include
2164,stunts,twin ram lakshman chella,choreographed by twin
2165,soundtrack,anirudh ravichander,composed by
2166,lyrics,vivek,written by
2167,mahjong,taiwanese edward yang,is
2168,film,nick ledoyen,chen
2169,2013 satire gods,2013 satire novel,is
2170,film,mid-2011,shot during
2171,edited  version,2008 singstar pop vol,used in
2173,flavors,romantic raj nidimoru,is
2174,flavors,international film festival,was
2175,flavors,positive reviews critics,received
2176,nikaah,hindi b. r. chopra,is
2177,music,ravi,composed by
2178,film,hyderabad,set in
2180,meanwhile  haider,successful  magazine,becomes
2181,who,married  life,nilofar
2182,addiction,romantic minna virtanen,is
2183,few loudspeaker announcements,original  cut,used in
2184,so  he,film,paid
2185,movie,breach,heals
2186,movie,timing,depends upon
2187,one,reasons mash,is
2188,supporting  cast,geraldine chaplin,includes
2189,however  reputation,time,improved
2190,zhivago,wound,tends
2191,yuri,relationship,renew
2192,however  novel,1956,completed until
2193,film,1966 cannes film festival,entered into
2194,least  it,himself,was
2195,film,three bafta award nominations,received
2196,nimki,susant propaganda mani,is
2197,she,way,stops
2198,lighting,- mis scene,are
2199,maelström,romantic denis villeneuve,is
2200,comedic  maelström,talking  fish,narrated by
2201,bibiane order it,restaurant,at
2202,it,more  responsibility,'s more
2203,car crashes,common  us,are
2204,one,subjects,is
2205,then  i,storytelling,think
2206,1999  casting,summer,began
2207,film,.,had
2208,ed gonzalez,it,dismissed
2209,lyricist howard ashman,composer alan songs,wrote
2210,anew  purdum,director,resigned as
2211,two disc dvd edition,november,released on
2212,film,best  picture,nominated for best
2213,potts,babette,logan as
2214,film,march,released on
2215,extra  lives,other  levels,hidden throughout
2216,final  boss,game,is gaston
2217,it,october,released on
2218,clothes,also  paint,simulated
2219,coraline,theatrically  february,released on
2220,it,movie  category,nominated for
2221,it,september,released to
2222,daughter,hit car accident,injured by
2223,wife,ever  him,suspected
2224,club,c+ rating,gave
2225,oliver lyttelton,c rating,gave
2226,she,sex,have
2227,banks,job,hired for
2228,mark bridges,costume designer,served as
2229,i,course,would
2230,keeley hazell,unspecified  role,auditioned for
2231,lucy hale,also  film,auditioned for
2232,i,dakota,started
2233,ora,originally  soundtrack,wanted
2234,principal  photography,eventually  december,delayed
2236,fairmont hotel vancouver,heathman hotel,used as
2237,film,also north shore studios,shot at
2238,production,officially  february,ended on
2239,set,alternative  ending,was on
2240,second  trailer,november,released on
2241,cut  version,zimbabwe,released in
2242,it,best  interest,'s
2243,it,best  interest,'s
2244,high  openings,germany,include
2245,largest  markets,total  earnings,are
2246,that,much,saying
2247,films,sadomasochistic  affair,are literary
2248,10  2013,january,announced
2249,it,shah rukh khan,stars
2250,raees,criminal abdul life,said
2251,raees,hindi  2017,was
2252,raees,baby son,have
2253,still  cm,alliance,form
2254,communal  riots,state,break
2255,serial  bomb,rock,blasts
2256,raees,3500  screens,opened to
2257,worldwide  raees,272.5  crore,grossed
2258,you,places,applaud
2259,it,shah charm,amalgamates
2260,nawazuddin siddiqui,best  lines,has
2261,raees,only srk showcase,works
2262,raees,hero,is
2263,additional  lyrics,javed  akhtar,written by javed
2264,shah rukh khan,later  death,condoled for
2265,phrases,original motion picture soundtrack,shortened to
2266,it,soundtrack,is
2267,soundtrack,typically  instrumentation,contains
2268,koji kondo,early nintendo games,was
2269,1985  novel,home  ursula,coming
2270,garrocho,original musician bruno ito,had
2271,phrases,original motion picture soundtrack,shortened to
2272,it,soundtrack,is
2273,soundtrack,typically  instrumentation,contains
2274,koji kondo,early nintendo games,was
2275,1985  novel,home  ursula,coming
2276,garrocho,original musician bruno ito,had
2277,film,$ 403 million,grossed over
2278,david,cylinder,investigates
2279,after  shaw,sex,have
2280,why hast thou,me,forsaken
2281,it,that,be about
2282,production,april,began in
2283,iceland shoot,imported crew crew,involved
2284,shooting  areas,large water tank,included
2285,then  i,digitally  it,flipped
2286,frédéric raindrop prelude,also  film,featured in
2287,designer arthur max,design staff,led
2288,theron,ice silver silk mohair suit,dressed in
2289,other  influences,large mountain earth,were
2290,designers,smooth  appearance,gave
2291,practical  creature,animatronic silicone skin,was
2292,protruding jaw,goblin shark,inspired by
2293,prometheus,digital effect shots,contains
2295,trailer,december,released on
2296,he,also  that,said
2298,lisa schwarzbaum,cast,was positive
2299,o'hehir,cinematography production design,mentioned
2300,covenant,development,is in
2301,she,then tim johnson,replaced by
2302,it,20th  century,associated with
2303,subgenres,war  comedy,include anti
2304,however  directors,tentative  definitions,offered
2305,central  powers,war documentaries,produced
2306,censorship,1980s,loosened in
2307,exceptions,green  berets,included
2308,heroes,calmly  men,were
2309,japanese film war,japanese film makers,was
2310,second film propaganda,second world war,used
2311,resulting  film,british  offices,became
2312,english  countryside,spies,is thick
2314,minutes  it,animated  time,was
2315,mohiniyaattam,indian sreekumaran thampi,is
2316,scarlet basil claw,sherlock holmes,sees
2317,crown international,masked  killer,features
2318,splatter films,gratuitous  gore,focus on gratuitous
2319,giallo  thrillers,eroticism murder horror,are
2321,hollywood strangler,skid row slasher,were
2322,box office,$  7.9,were
2325,iconic hockey mask,pop culture iconography,grown to
2326,traditional slasher films,frequent  output,saw
2327,film,original members anthony perkins,reunited original
2328,nightmare,elm street,became cultural
2329,mexico,grave zombie robbers,released
2330,new  nightmare,2.3 million american box office,sold
2332,slasher,new scream settings,intended
2334,it,october,released on
2337,she,later  king,turns
2338,it,spectacular sword fight sequences,succeeded in
2339,letdown,character development,been
2340,two certificate awards,national film awards,discontinued from 15th
2341,award,rajat kamal,includes
2342,interstellar,american christopher nolan,is
2343,paramount  pictures,- warner film,financed
2344,astronauts miller,positive  results,reported positive
2345,cooper,endurance,recruited
2346,crew,scientists dr,includes
2347,mann,manual docking operation,dies during
2348,time  dilation,51  years,adds
2349,cooper,tesseract,ejected from
2350,principal  photography,december,concluded in
2351,interstellar,three  spacecraft,features
2352,film,two  robots,features
2353,it,mathematics,based on
2354,soundtrack,november,released on
2355,new deal miniatures,special effects shots,used in
2356,it,hd,released for ultra
2357,it,22 million 22 tickets,sold
2358,strong  openings,germany,occurred in
2359,interstellar,weekend  us,opened
2360,both,$ 55 million,forecast
2361,critic lou lumenick,exhilarating film experiences,deemed interstellar
2362,that,just  one,movie
2363,malayalam film industry,biggest film india,is
2364,films,realistic  plots,known for
2365,first cinemascope film,malayalam,was thacholi
2366,first  film,malayalam,was
2367,malayalam films,tamil  producers,made by tamil
2368,b. jikki,prominent  1950s,were
2370,many  directors,period,sprang
2371,menon,rosy  chemparanthi,made rosy
2372,important  movies,kanchana sita,include
2373,this,cinematography,aided by
2374,films,warm background music,had warm
2375,movie,film institute award,won
2376,this,which,was
2377,millennium,blockbuster hit,started with
2378,new  wave,fresh  themes,characterised by fresh
2379,film,four  languages,acclaimed
2380,dear mm kuttichathan,70 mm film,produced
2381,villain,entirely 8k resolution,is
2382,ramu karyat,celebrated  1960s,went
2383,reformation,music directors,led by
2384,major playback singers,time,were
2385,p. balasubrahmanyam,malayalam films,sang for
2386,melodious  music,high quality songs,were
2387,p. venkatesh,also mohan period,were
2388,winning music composers,malayalam cinema,are
2389,awards,1969,started in
2390,national  pictures,first film kerala,was
2391,malayalam film industry,biggest film india,is
2392,films,realistic  plots,known for
2393,first cinemascope film,malayalam,was thacholi
2394,first  film,malayalam,was
2395,malayalam films,tamil  producers,made by tamil
2396,b. jikki,prominent  1950s,were
2398,many  directors,period,sprang
2399,menon,rosy  chemparanthi,made rosy
2400,important  movies,kanchana sita,include
2401,this,cinematography,aided by
2402,films,warm background music,had warm
2403,movie,film institute award,won
2404,this,which,was
2405,millennium,blockbuster hit,started with
2406,new  wave,fresh  themes,characterised by fresh
2407,film,four  languages,acclaimed
2408,dear mm kuttichathan,70 mm film,produced
2409,villain,entirely 8k resolution,is
2410,ramu karyat,celebrated  1960s,went
2411,reformation,music directors,led by
2412,major playback singers,time,were
2413,p. balasubrahmanyam,malayalam films,sang for
2414,melodious  music,high quality songs,were
2415,p. venkatesh,also mohan period,were
2416,winning music composers,malayalam cinema,are
2417,awards,1969,started in
2418,national  pictures,first film kerala,was
2419,tamil cinema,filmmaking language motion pictures,is
2420,this,few  months,klug
2421,theatre,few  years,shut
2422,lyric theatre,also mount road area,built in
2423,silent  films,additional  attraction,screened as
2424,soon  he,producing  company,tied
2425,tent  events,true cinema shows,were
2426,era,short  films,ended
2427,more cinema houses,city,came
2428,silent  era,south indian cinema,documented
2429,company dramas,madras audience,were popular
2430,he,it,called
2431,successful tamil films,other film industries,remade by other
2432,movies,two  languages,made in
2433,kalidas,first talkie 1931,was
2434,kalava,entirely length tamil,was
2435,kanchivaram,toronto international film festival,selected
2436,mani nayakan,best movies list,included in
2438,tamil cinema,filmmaking language motion pictures,is
2439,this,few  months,klug
2440,theatre,few  years,shut
2441,lyric theatre,also mount road area,built in
2442,silent  films,additional  attraction,screened as
2443,soon  he,producing  company,tied
2444,tent  events,true cinema shows,were
2445,era,short  films,ended
2446,more cinema houses,city,came
2447,silent  era,south indian cinema,documented
2448,company dramas,madras audience,were popular
2449,he,it,called
2450,successful tamil films,other film industries,remade by other
2451,movies,two  languages,made in
2452,kalidas,first talkie 1931,was
2453,kalava,entirely length tamil,was
2454,kanchivaram,toronto international film festival,selected
2455,mani nayakan,best movies list,included in
2457,documentary films,less  length,called
2458,documentary practice,complex documentary projects,is
2459,these,five  films,survive
2460,many  scientists,way,followed
2461,moscow,snow,is
2462,films,modern  art,influenced by modern
2463,leftist filmmakers joris ivens,belgian coal mining region,directed
2464,luis buñuel,documentary las hurdes,directed
2465,it,war,public
2466,they,documentary film movement,known as
2467,films,viewer,are rhetorical
2469,how  world,documentary films,represented by
2470,documentary translators,tight  deadlines,have
2471,documentary translators,given  field,are
2472,we,actually  scratch,going
2473,2019 d23 it,2019 d23 expo,revealed
2474,we,actually  scratch,going
2475,2019 d23 it,2019 d23 expo,revealed
2476,grown feature film,yan 1921,was
2477,film industry,1945,continued
2478,spring river,cai  chusheng,was
2479,beijing film academy,1956,opened
2480,chinese  film,1960,produced in
2481,cultural film industry,cultural  revolution,restricted
2482,fifth generation directors,wu ziniu,include
2483,they,complex  plots,adopted complex
2484,fourth  generation,also  prominence,returned to
2485,still  life,international film festival,was
2486,acclaimed  documentary,nine deindustrialization tie,is
2487,traditionally  movies,seldom  enough,arthouse
2488,cinematic debut shaolin temple,instant  home,was
2489,commercial  film,405,was
2490,feng,post-1997  era,become
2491,crazy  stone,3 million 3 hkd,made for
2492,it,first cn¥3 billion,is
2493,black comedy film,zhang yimou,made
2494,who,dual  roles,are
2495,similarly zhang hero,similarly  2002,was
2496,greater  china,imax  theaters,has
2497,large  companies,huayi brothers media,include
2498,grown feature film,yan 1921,was
2499,film industry,1945,continued
2500,spring river,cai  chusheng,was
2501,beijing film academy,1956,opened
2502,chinese  film,1960,produced in
2503,cultural film industry,cultural  revolution,restricted
2504,fifth generation directors,wu ziniu,include
2505,they,complex  plots,adopted complex
2506,fourth  generation,also  prominence,returned to
2507,still  life,international film festival,was
2508,acclaimed  documentary,nine deindustrialization tie,is
2509,traditionally  movies,seldom  enough,arthouse
2510,cinematic debut shaolin temple,instant  home,was
2511,commercial  film,405,was
2512,feng,post-1997  era,become
2513,crazy  stone,3 million 3 hkd,made for
2514,it,first cn¥3 billion,is
2515,black comedy film,zhang yimou,made
2516,who,dual  roles,are
2517,similarly zhang hero,similarly  2002,was
2518,greater  china,imax  theaters,has
2519,large  companies,huayi brothers media,include
2520,two certificate awards,national film awards,discontinued from 15th
2521,award,rajat kamal,includes
2522,it,brad pitt,stars
2523,flees,chase,gives
2524,police,devastated  mills,converge
2525,chechik,one  point,attached
2526,washington,later  role,regretted
2527,how  you,it,did
2528,however  fincher,original  ending,continued
2529,filming,two  days,took
2531,contrast,itself,inspired
2532,dvd,also dvd rom drives,is
2533,original  score,howard shore,is by
2534,crows,dorota drama kędzierzawska,is
2535,film,israeli  france,is
2536,it,third  border,is
2537,glass,there train david,held
2538,elijah,best  efforts,remains
2539,leave,same train crash,survived
2540,richard roeper,chicago sun film,called
2541,night shyamalan,times  glass,asked numerous
2542,shuri,t'challa confronts n'jobu,heals
2544,killmonger,free  man,refuses
2545,arm band arm rings,southern ndebele people,were
2546,sets,completely  skypanels,surrounded by
2547,filming,april,concluded on
2548,full  trailer,october,released
2549,this,asian  territories,was
2550,this,black opening director,was
2551,largest  markets,april,were
2552,culturally  film,sun,be
2553,this,diverse superhero film,was
2554,% african american,second  weekend,were
2555,film,may,scheduled
2556,music,michael stearns,composed by
2557,filmmakers,then  sequences,connected
2558,then  we,blocks,started
2559,locations,angola,include
2560,rima,helicopter,arrives by
2561,sam,wrist,wounded in
2562,she,daughter,call
2563,china film corporation,1949,established in
2564,company,animation division,has
2565,cfcc,precise  roles,has
2566,year china film group,30 feature length films,produces more
2567,canal,erden drama kıral,is
2568,it,international film festival,entered into
2569,amazing spider man,mixed  reviews,saw mixed
2570,up actor tom cruise,leading  role,discussed for
2571,director zito,compromised spider man,opted
2572,electro,corrupt  capitalists,was
2573,spider man,scientist otto octavius,contends with
2574,he,monstrous  dr,fights
2575,however  talks,studios,broke
2576,homecoming,july,released on
2577,three  films,later trilogy box set,packaged in
2578,spider man,high blu ray format,was
2580,2008 paul wernick,september,signed
2581,feige,creatively  films,expected
2582,film,july,set
2583,hunter film,currently richard wenk,kraven
2584,2010  they,other  hand,study
2585,biopics,purposely  truth,stretch
2586,casting,biographical  films,be controversial
2587,eilis,young  men,is uninterested
2588,eilis,break,told
2589,kehoe praises eilis,christmas irish lunch,agreed
2590,she,room,giving
2591,eilis,dolores,looks miserable
2592,eilis,them,gets
2593,she,him,tells
2594,she,room,goes to
2595,film,eilis,ends with
2596,they,realistic  story,depict
2597,take,it,'s
2598,that,quite  itself,'s
2599,actually  women,film,are
2600,cohen,international film festival,named breakthrough
2601,thin film technology,conventional c si technology,been cheaper
2602,however  it,significantly  years,improved over
2603,copper indium selenide,outdoor film applications,are
2604,hyperspectral  imaging,cells,used
2605,thin film silicon,conventional crystalline silicon,is
2606,electronic  structure,p  i,is
2607,c si layer,red  light,absorb
2608,arsenide,film solar film cells,used for single
2609,where  him,bed,awakens
2610,argument,passionate  lovemaking,ends in passionate
2611,he,mother,ended
2612,you,over  it,explain
2613,piece,you,realise
2614,first  it,first  order,needed
2615,it,international film festival,screened at
2616,i,it,wanted
2617,gleiberman,mother,labelled
2618,they,mother,insist
2619,none,it,adds
2620,where  him,bed,awakens
2621,argument,passionate  lovemaking,ends in passionate
2622,he,mother,ended
2623,you,over  it,explain
2624,piece,you,realise
2625,first  it,first  order,needed
2626,it,international film festival,screened at
2627,i,it,wanted
2628,gleiberman,mother,labelled
2629,they,mother,insist
2630,none,it,adds
2631,large  companies,big metro goldwyn five,came
2632,smaller  studios,simultaneously  majors,operated
2634,2018 gabriel bateman,september,set
2635,unexpectedly  it,assassination,ended
2636,nix  films,simultaneous comparison movie,combined into
2637,younger  brother,fight,stops
2638,lions gate entertainment,film,distributed
2639,bush administration,officially  film,commented on
2640,such,bush,disputed by
2641,reportedly  bush,it,liked
2642,nordisk film games,nordic gaming studios,invest in nordic
2643,kogama,registered one users,has
2644,it,particular christian rask,created in particular
2645,it,minecraft,is similar
2646,eventim,danish  venue,operate
2647,when  it,2018,hallen
2648,mystery,cartoon network,released by
2649,brian levant,film,directed
2650,shaggy,side relationship,set
2651,scooby doo,june,released on
2652,plot,mystery inc,shows
2653,we,bad  timeslot,had
2654,plot,origin mystery,is
2656,tohokushinsha film corporation,distributor  akasaka,is
2657,film grain,such  particles,is
2658,it,photographic film photograph,be
2660,film festival madre,short simón mesa soto,is
2662,chisholm,corrupt  sheriff,sends
2663,actors,december,cast between
2664,denzel character,warrant chris adams,renamed from
2665,instead  someone,instead  what,of
2666,he,ladies,loves
2667,he,fire fight,'s deadly
2668,it,washington,is
2669,friend simon franglen co,score,composed
2670,other  locations,.,include
2671,amy  nicholson,film,decried
2672,shoot  em,pow,'s
2673,it,hell,'s
2674,colin farrell,eventually  him,replaced
2675,l. jackson,part,took
2676,elliot goldenthal,soundtrack,composed
2677,reception,movie,was mixed
2678,firefight,2011,came
2680,stephanie sigman,jay series,star in
2681,lin,pilot,announced
2682,sagayam,him,stopped
2683,it,raghu  smuggler,works for
2684,previously  movie,santa maria,titled as
2685,later  it,richie,titled as
2686,this,second kurangu bommai,is
2687,ishta,2011 language romance r.p,is
2688,film,21  october,released on
2689,it,"$  24,500",made for
2690,splatter directors,mainstream hits,gone
2691,they,metaphor,lacking
2692,first manipur film,matamgi 1972,released in
2693,it,selected feature films,was among
2694,first manipur film,matamgi 1972,released in
2695,it,selected feature films,was among
2696,fargo,black comedy thriller joel,is
2697,film,international united states,was
2698,payment,"80,000  ransom",be
2699,enraged  carl,wade,pulls
2700,brothers,explanation,modified
2701,actual  murders,minnesota,committed in
2702,i,actually  that,said
2703,i,this,want
2705,site,corporate  headquarters,occupied by best
2706,motel blue truckstop,south st,was
2707,which,still  business,paul
2708,building,medical outpatient treatment center,houses
2710,fargo,100 american film years,ranked
2711,marge gunderson character,100  years,ranked
2712,musical  motif,norwegian folk song,based on
2713,fargo,several  formats,released in several
2714,music,madhavapeddi suresh,composed by
2715,nfpb,nfr,adds to
2716,table,2018 induction list,is through
2717,film,6  january,released on
2718,soundtrack album,five  tracks,consists of
2719,album,17  december,released on
2720,rajkumar santoshi,hindi film films,is
2721,he,next thrillers damini,directed
2722,he,producer director p.l,is
2723,ensemble andaz apna,ensemble  comedy,wrote
2724,lajja,box office india,was
2725,film,national film award,won
2726,raja sen,it,called
2727,it,box office,bombed at
2728,films,period,received
2729,rajkumar santoshi,hindi film films,is
2730,he,next thrillers damini,directed
2731,he,producer director p.l,is
2732,ensemble andaz apna,ensemble  comedy,wrote
2733,lajja,box office india,was
2734,film,national film award,won
2735,raja sen,it,called
2736,it,box office,bombed at
2737,films,period,received
2738,however  characters,sometimes narrative voice,invented
2739,stage plays,frequent film adaptations,are frequent
2740,adaptive  process,one  translation,continue after
2741,feature films,occasionally television series,created from
2742,muppet movie,1979,was
2743,radio series,film dr,turned into
2744,superman,comic book characters,are
2745,occasionally  aspects,characters,simplified
2746,spider man,2 storyline spider man,based on
2747,some,worst  films,received
2748,inconvenient  truth,keynote multimedia presentation,is
2749,remakes,original film film,are
2750,many  films,mythology,made from
2751,works,several  nations,adapted multiple
2752,finally  films,plays,inspired
2753,spamalot,python broadway films,is
2755,cover version,old song u mraka,usred
2756,followup,second  compilation,was
2757,band,new  wave,became
2758,motion picture projects,discrete  stages,have
2759,film directors,screenwriters,started as
2760,other film directors,film school,attended
2761,directors,different  approaches,use different
2762,grips,lighting  technicians,trained
2763,also art which,also art department,is
